conv_id,turn_id,text
3XT3KXP24Z4HXI65TLLCF9VT2TS6ID_39TX062QX1UFQU8I95NFBG6OGFTX3X,19,"Question 1: when did they stop putting silver in nickles
Answer 1: Between 1942 to 1945.
Topic: Jefferson nickel (Introduction)

Question 2: Who is Jefferson nickel?
Answer 2: It is the five-cent coin struck by the United States Mint since 1938.
Topic: Jefferson nickel (Introduction)

Question 3: Where is this mint located?
Answer 3: There are four active coin-producing mints: Philadelphia, Denver, San Francisco, and West Point.
Topic: United States Mint (Current facilities.)

Question 4: When was it formed?
Answer 4: The mint in Boston was established in 1652.
Topic: United States Mint (History.)

Question 5: What can you tell me about the weather at this place?
Answer 5: Summers are typically hot and humid, while winters are cold and stormy, with occasional periods of heavy snow.
Topic: Boston (Climate.)

Question 6: Are there any famous colleges here?
Answer 6: Yes, ""The Massachusetts Institute of Technology"".
Topic: Boston (Higher education.)

Question 7: When was this founded?
Answer 7: 1861
Topic: Massachusetts Institute of Technology (Introduction)

Question 8: Does its alumni include any famous person?
Answer 8: John Olver, Pete Stark, Thomas Massie and many more.
Topic: Massachusetts Institute of Technology (Notable alumni.)

Question 9: What can you tell me about the first person in the list?
Answer 9: John Walter Olver is an American politician who was the U.S. Representative for Massachusetts's 1st congressional district from 1991 to 2013.
Topic: John Olver (Introduction)

Question 10: What are the sporting events that take place at the university?
Answer 10: Football and Water polo are two of them.
Topic: Massachusetts Institute of Technology (Athletics.)

"
31JUPBOORNA6RXXZ73FNR3JCO0Q8L8_3X878VYTIEOGRRIKBNKJIQIXGKYF7N,27,"Question 1: why are there so many fossils on the jurassic coast
Answer 1: It has seen over 185 million years of geological history.
Topic: Jurassic Coast (Introduction)

Question 2: Where is this place?
Answer 2: It stretches on the English Channel coast of Southern England.
Topic: Jurassic Coast (Introduction)

Question 3: Is it a heritage site?
Answer 3: Yes, it etched its place on the World Heritage List in 2001.
Topic: Jurassic Coast (World Heritage Site.)

Question 4: Who found it?
Answer 4: Georges Cuvier
Topic: Jurassic Coast (History.)

Question 5: When?
Answer 5: At the end of the 18th century.
Topic: Jurassic Coast (History.)

Question 6: What is the channel that you spoke about earlier?
Answer 6: It is an arm of the Atlantic Ocean that separates Southern England from northern France and links to the southern part of the North Sea by the Strait of Dover at its northeastern end.
Topic: English Channel (Introduction)

Question 7: Do you know why is it called the English Channel?
Answer 7: It is said to refer to the Channel's sleeve shape. Folk etymology has derived it from a Celtic word meaning “channel”.
Topic: English Channel (Name.)

Question 8: Did it play any part in a war?
Answer 8: Yes, during World War II became the stage for an intensive coastal war, featuring submarines, minesweepers, and Fast Attack Craft.
Topic: English Channel (Second World War.)

Question 9: Was a tunnel constructed across it?
Answer 9: Yes, in 1994. It connects the UK and France by rail
Topic: English Channel (Channel Tunnel.)

Question 10: Has anybody swam across the channel?
Answer 10: Yes, Captain Matthew Webb made the first unassisted swim across.
Topic: English Channel (By swimming.)

Question 11: Can you please name any other work by the person who found the coast?
Answer 11: He was a major figure in natural sciences research, he was instrumental in establishing the fields of comparative anatomy and paleontology through his work in comparing living animals with fossils.
Topic: Georges Cuvier (Introduction)

Question 12: What was his profession?
Answer 12: He was a naturalist and zoologist.
Topic: Georges Cuvier (Introduction)

Question 13: Which fossils were found at the coast? names?
Answer 13: Ichthyosaurs, Plesiosaurs, Pterosaur, as well as invertebrates such as Cephalopods are some of them.
Topic: Jurassic Coast (History.)

Question 14: Does the rail that connects the channel have a name?
Answer 14: Yes, it called the ""Eurostar"" train.
Topic: English Channel (Channel Tunnel.)

"
356TQKY9YKAU0LOVYMLQSWOWAM1788_3MJ9GGZYP8J1X8K4P8O9SWDJPUF2AR,11,"Question 1: When was the film 300 released?
Answer 1: December 9, 2006
Topic: 300 (film) (Introduction)

Question 2: Who are the actors?
Answer 2: Gerard Butler, Rodrigo Santoro, Lena Headey, and David Wenham.
Topic: 300 (film) (Introduction)

Question 3: Has the first actor won any awards?
Answer 3: Yes, MTV Movie Award.
Topic: Gerard Butler (Introduction)

Question 4: Has the second actor worked in any other film?
Answer 4: Yes, Brainstorm, Carandiru, to name a few.
Topic: Rodrigo Santoro (Introduction)

Question 5: Can you name any famous tv series that the third actress has acted in?
Answer 5: Game of Thrones
Topic: Lena Headey (Introduction)

Question 6: Who is the director of the original movie?
Answer 6: Zack Snyder
Topic: 300 (film) (Introduction)

"
3S829FDFU7E0WVQDX7048NFLND0XD0_3X4Q1O9UCMZXLDBB53AMPIEWPYSO7T,9,"Question 1: When was William Finlay, 2nd Viscount Finlay born?
Answer 1: 15 October 1875
Topic: William Finlay, 2nd Viscount Finlay (Introduction)

Question 2: Who is he?
Answer 2: A British judge and peer
Topic: William Finlay, 2nd Viscount Finlay (Introduction)

Question 3: When did he begin his career?
Answer 3: During 1901 when he joined the Northern Circuit
Topic: William Finlay, 2nd Viscount Finlay (Early life and career.)

Question 4: What is that?
Answer 4: The Northern Circuit dates from 1176 when Henry II sent his judges on circuit to do justice in his name.
Topic: Northern Circuit (Introduction)

Question 5: What was the former's role in the WW II?
Answer 5: During the Second World War, he was seconded from the Court of Appeal to chair the Contraband Committee of the Ministry of Economic Warfare, an appointment which reflected his work during the First World War.
Topic: William Finlay, 2nd Viscount Finlay (Court of Appeal and Second World War.)

"
3DFYDSXB2W6YU4GC7L4F7GO9H53UJ4_3GONHBMNHV45HBG7G5GF40V5NHDMZP,13,"Question 1: when did the roman empire end and start
Answer 1: It officially started in 27 BC, got split into the Western and Eastern Roman Empires in between and ended with the fall of Constantinople in 1453.
Topic: Roman Empire (Transition from Republic to Empire.)

Question 2: Who was the ruler then?
Answer 2: UNANSWERABLE
Topic: 

Question 3: What was the status of women then?
Answer 3: Freeborn Roman women were considered citizens throughout the Republic and Empire, but did not vote, hold political office, or serve in the military.
Topic: Roman Empire (Women in Roman law.)

Question 4: What was the government structure like?
Answer 4: The three major elements of the Imperial Roman state were the central government, the military, and provincial government.
Topic: Roman Empire (Government and military.)

Question 5: Can you name any personality from this entire empire be it a man or a woman?
Answer 5: Emperors Augustus, Caligula, Hadrian, Marcus Aurelius among many other illustrious rulers.
Topic: Roman Empire (The Pax Romana.)

Question 6: From which family did the fourth person originate?
Answer 6: Through his grandmother Rupilia, Marcus was a member of the Nerva-Antonine dynasty.
Topic: Marcus Aurelius (Family origins.)

Question 7: Which are the good emperors of this dynasty?
Answer 7: The so-called ""Five Good Emperors"" were Nerva, Trajan, Hadrian, Antoninus Pius and Marcus Aurelius.
Topic: Roman Empire (The Pax Romana.)

"
3UZUVSO3P7176GPBKI22JQUN0UJEMT_3Q7TKIAPOTGI8STQOBQ3DVXD0DSDLX,11,"Question 1: what do they call the subway in new york
Answer 1: Rapid transit
Topic: New York City Subway (Introduction)

Question 2: How is it constructed?
Answer 2: The typical tunnel construction method was cut-and-cover
Topic: New York City Subway (Construction methods.)

Question 3: Are there any mentions of it being expanded?
Answer 3: Since the opening of the original New York City Subway line in 1904, various official and planning agencies have proposed numerous extensions to the subway system.
Topic: New York City Subway (Expansion.)

Question 4: The city mentioned above where is it located?
Answer 4: Located at the southern tip of the U.S. state of New York
Topic: New York City (Introduction)

Question 5: What course does it follow?
Answer 5: UNANSWERABLE
Topic: 

Question 6: Did the above subway get modernized?
Answer 6: Yes, credit-card trials at several subway stations in 2006 and 2010 led to proposals for contactless payment to replace the aging MetroCard.
Topic: New York City Subway (Modernization.)

"
31KPKEKW5FQZK8MIGZKR4J4AACNB0E_3D1TUISJXNDPN2C4KGQSFDWULRBIUX,21,"Question 1: What is Durian?
Answer 1: It is the fruit of from tree species belonging to the genus ""Durio"".
Topic: Durian (Introduction)

Question 2: Where is it found?
Answer 2: Borneo and Sumatra.
Topic: Durian (Introduction)

Question 3: What are its types?
Answer 3: Mon Thong, Chantaburi No. 1, Chantaburi No. 3, D24 and XO.
Topic: Durian (Thai varieties.)

Question 4: Is it nutritious?
Answer 4: Yes, it contains proteins, carbohydrates, vitamin C, and manganese.
Topic: Durian (Nutrition.)

Question 5: Does it have a smell?
Answer 5: Yes, an unusual and disagreeable odour.
Topic: Durian (Flavour and odour.)

Question 6: Can you name any other two food items which contains the mentioned vitamin?
Answer 6: Guava, broccoli.
Topic: Vitamin C (Introduction)

Question 7: Which disease is caused due to its deficiency?
Answer 7: Scurvy.
Topic: Vitamin C (Introduction)

Question 8: Does its intake causes any side effects?
Answer 8: Nausea, abdominal cramps and diarrhea.
Topic: Vitamin C (Side effects.)

Question 9: Any other cause of the mentioned disease other than deficiency?
Answer 9: Malnutrition and poor dietary choices.
Topic: Scurvy (Cause.)

Question 10: How is it treated?
Answer 10: By preventing dehydration, low blood sugar, low body temperature, infection, correct electrolyte imbalances and micronutrient deficiencies.
Topic: Malnutrition (Treatment.)

Question 11: Was any trial conducted in relation to this?
Answer 11: Yes, human trials were conducted to study scurvy.
Topic: Scurvy (Human trials.)

"
36BTXXLZ2VEGBU5A0KM6W3C6S99R46_3Z33IC0JC0S917S3QZN7E8CPZ70V9Z,13,"Question 1: who was the original leader of the puritans in the colonies and what was his famous quote
Answer 1: John Winthrop was the leader. He was famous for his writings and vision of the colony as a Puritan being a ""city upon a hill"". 
Topic: John Winthrop (Introduction)

Question 2: Who is the person mentioned above?
Answer 2: He was an English Puritan lawyer and one of the leading figures in founding the Massachusetts Bay Colony.
Topic: John Winthrop (Introduction)

Question 3: How is the aforesaid colony associated with the Cape Ann settlement?
Answer 3: The Plymouth Council for New England had established a small fishing village at Cape Ann under the supervision of the Dorchester Company, with Thomas Gardner as its overseer and they terminated their support by the end of 1625. This settlement, helped the colony to come to an agreement.
Topic: Massachusetts Bay Colony (Cape Ann settlement.)

Question 4: Is the above mentioned lawyer involved in any controversies?
Answer 4: Yes, he faced a difference of opinions with regards  religion laws. Hutchinson and Wheelwright subscribed to the Antinomian view and Winthrop believed in a more Legalist view.
Topic: John Winthrop (Religious controversies.)

Question 5: What is his role in slave trade?
Answer 5: Winthrop was a member of the committee which drafted the code for the ""Massachusetts Body of Liberties"", but his exact role is not known because records of the committee have not survived.
Topic: John Winthrop (Slavery and the slave trade.)

Question 6: Can you mention any of his writings?
Answer 6: ""A Modell of Christian Charity"" and ""The History of New England""
Topic: John Winthrop (Writings and legacy.)

Question 7: What can you tell me about the economy of the previously mentioned colony?
Answer 7: Businesses such as shipbuilding, fisheries, fur and lumber trades were quick to thrive.
Topic: Massachusetts Bay Colony (Economy and trade.)

"
3J5XXLQDIROAAEJL43TA7TWOGP3V3X_3MQKOF1EF71L7VLNN24I641EEBUDWN,19,"Question 1: Who built Liverpool Town Hall?
Answer 1: John Wood the Elder.
Topic: Liverpool Town Hall (Introduction)

Question 2: Where is it located?
Answer 2: Liverpool, Merseyside.
Topic: Liverpool Town Hall (Introduction)

Question 3: Who designed it?
Answer 3:  James Wyatt
Topic: Liverpool Town Hall (Introduction)

Question 4: What kind of events happen there?
Answer 4: It is open to the general public each month when conducted tours take place. The hall is licensed for weddings.
Topic: Liverpool Town Hall (Current use and surroundings.)

Question 5: Does the region where the town hall is located have notable landmarks or monuments?
Answer 5:  Yes, Speke Hall.
Topic: Liverpool (Other notable landmarks.)

Question 6: Does it promote cycling?
Answer 6: Yes, the 2014 Tour of Britain cycle race began there.
Topic: Liverpool (Cycling.)

Question 7: Does the race have many stages?
Answer 7: Yes, 8 stages. 
Topic: 2014 Tour of Britain (Stages.)

Question 8: Tell me something about the initial stage?
Answer 8: UNANSWERABLE
Topic: 

Question 9: Which teams were a part of it?
Answer 9: UNANSWERABLE
Topic: 

Question 10: What is remarkable about the landmark mentioned?
Answer 10: It is one of the few remaining timber framed Tudor houses left and is particularly noted for its Victorian interior.
Topic: Liverpool (Other notable landmarks.)

"
3XDJY5RK5SR8RMXR4EHB1EZQ0VBU4M_3RHLQY6EDTAMAKM5IJRMREV2EVH4DN,33,"Question 1: when does scully come back in season 2
Answer 1: Scully appeared comatose two episodes later in the second season
Topic: The X-Files (season 2) (Introduction)

Question 2: What is the 'X-Files'?
Answer 2: A science fiction television series
Topic: The X-Files (season 2) (Introduction)

Question 3: Who is the director?
Answer 3: Created by Chris Carter
Topic: The X-Files (Introduction)

Question 4: Name a few of the characters
Answer 4: Fox Mulder, Dana Scully, Walter skinner to name a few
Topic: The X-Files (Introduction)

Question 5: On which channel did it air?
Answer 5: Fox
Topic: The X-Files (Introduction)

Question 6: When was it established?
Answer 6: October 9, 1986
Topic: Fox Broadcasting Company (Introduction)

Question 7: Who owns it?
Answer 7: It is a flagship property of the Fox Corporation
Topic: Fox Broadcasting Company (Introduction)

Question 8: How many episodes did the second season have?
Answer 8: 25
Topic: The X-Files (season 2) (Introduction)

Question 9: Can you name a few of the episodes
Answer 9: UNANSWERABLE
Topic: 

Question 10: What is its genre?
Answer 10: Science fiction
Topic: The X-Files (season 2) (Introduction)

Question 11:   Who is the producer?
Answer 11: UNANSWERABLE
Topic: 

Question 12: What are the names of the actors?
Answer 12: David Duchovny, Gillian Anderson, Mitch Pileggi, Robert Patrick, Annabeth Gish are some of them
Topic: The X-Files (Introduction)

Question 13: What reviews did the second season receive?
Answer 13: ""The DVD Journal"" gave the season four out of four stars, calling it a ""memorable season""
Topic: The X-Files (season 2) (Reviews.)

Question 14: Were there any other critics?
Answer 14: IGN, Robert Shearman and Lars Pearson to name a few
Topic: The X-Files (season 2) (Reviews.)

Question 15: Did it win any awards?
Answer 15: Yes, Golden Globe Award for Best Television Series – Drama.
Topic: The X-Files (season 2) (Accolades.)

Question 16: Who is the writer?
Answer 16: Chris Carter, Glen Morgan, James Wong and Howard Gordon 
Topic: The X-Files (season 2) (Writing and development.)

Question 17: How many seasons are there in total?
Answer 17: 11
Topic: The X-Files (Introduction)

"
