conv_id,turn_id,text
39RRBHZ0AU7O7YAGUXH6RWEIENLZV5_322ZSN9Z5GQTR9I249R1WIDOG72T47,21,"Question 1: family guy back to the future rick astley
Answer 1: In an episode the song ""Never Gonna Give You Up"" by Rick Astley has been performed.
Topic: Meet the Quagmires

Question 2: What is Meet the Quagmires?
Answer 2:  ""Meet the Quagmires"" is the 18th and final episode of the fifth season of the animated comedy series ""Family Guy"".
Topic: Meet the Quagmires

Question 3: Who are the characters?
Answer 3: Peter , Lois, Quagmire and others.
Topic: Meet the Quagmires

Question 4: What are the names of the people who do their voice overs?
Answer 4: Seth MacFarlane for both Peter and Quagmire, and Alex Borstein for Lois.
Topic: Family Guy

Question 5: What is the theme of this cartoon?
Answer 5: Comedy.
Topic: Meet the Quagmires

Question 6: Who created it?
Answer 6: Seth MacFarlane .
Topic: Family Guy

Question 7: Who is the director?
Answer 7: Dan Povenmire and Chris Robertson.
Topic: Meet the Quagmires

Question 8: Has the first one directed anything else?
Answer 8: UNANSWERABLE
Topic: 

Question 9: What about the second?
Answer 9: UNANSWERABLE
Topic: 

Question 10: Has the show won any awards?
Answer 10: Eight Emmy Awards, three Annie Awards and several others.
Topic: Family Guy

Question 11: What about the creator?
Answer 11: He won several awards for his work on ""Family Guy"", including five Primetime Emmy Awards and an Annie Award.
Topic: Seth MacFarlane

"
34R0BODSP159Y945SJLG2OJ1DQX5EF_3BFNCI9LYKWLBF2RRSJHHHT0D72371,15,"Question 1: who played the female lead in the 1942 film casablanca
Answer 1:  Ingrid Bergman
Topic: Casablanca (film)

Question 2: Who wrote its script?
Answer 2:  Howard Koch
Topic: Casablanca (film)

Question 3: And who directed it?
Answer 3: Michael Curtiz
Topic: Casablanca (film)

Question 4: And who was the male lead in this?
Answer 4: Humphrey Bogart
Topic: Casablanca (film)

Question 5: How was its initial response?
Answer 5: It received ""consistently good reviews"".
Topic: Casablanca (film)

Question 6: Can you mention its storyline?
Answer 6: It focuses on an American expatriate (Bogart) who must choose between his love for a woman (Bergman) and helping her and her husband (Henreid), a Czech resistance leader.
Topic: Casablanca (film)

Question 7: Is the male lead related to Navy by any chance?
Answer 7: He was enlisted in the United States Navy in the spring of 1918.
Topic: Humphrey Bogart

Question 8: What mission does this Navy has?
Answer 8: The mission of the U.S. Armed Forces is ""to be prepared to conduct prompt and sustained combat operations in support of the national interest."" 
Topic: United States Navy

"
34OWYT6U3WN4F183RSOOZJMVR2EI9T_3J5XXLQDHMHNM53N9QMXNV93ZC03VU,11,"Question 1: who is the actor that plays tyrion lannister
Answer 1: Peter Hayden Dinklage
Topic: Peter Dinklage

Question 2: To which work does this character belong to?
Answer 2: ""Game of Thrones""
Topic: Peter Dinklage

Question 3: When was the beginning of his career?
Answer 3: 1995
Topic: Peter Dinklage

Question 4: Is he suffering from any kind of disorder?
Answer 4: UNANSWERABLE
Topic: 

Question 5: Which was his debut work?
Answer 5: ""Living in Oblivion""
Topic: Peter Dinklage

Question 6: What more can you tell me about his about mentioned character?
Answer 6: He is a fictional character in the ""A Song of Ice and Fire"" series of epic fantasy novels by American author George R. R. Martin.
Topic: Tyrion Lannister

"
3TZ0XG8CCZXYE4CODJJA6SF25JC98N_3I01FDIL7RLZVFNG9IFBIXLPA4ZD25,17,"Question 1: What is referred as Medo-Babylonian conquest of the Assyrian Empire?
Answer 1: It was the last war fought by the Neo-Assyrian Empire
Topic: Medo-Babylonian conquest of the Assyrian Empire

Question 2: When?
Answer 2: Between 626 and 609 BC
Topic: Medo-Babylonian conquest of the Assyrian Empire

Question 3: Where was it fought?
Answer 3: Assyria
Topic: Medo-Babylonian conquest of the Assyrian Empire

Question 4: What was the main cause behind it?
Answer 4: The new king of Assyria faced by the revolt of one of his brother's chief generals, Sin-shumu-lishir, who attempted to usurp the throne for himself. This threat caused the war.
Topic: Medo-Babylonian conquest of the Assyrian Empire

Question 5: What happened after it?
Answer 5: AfterAfter the battle at Harran, Nabopolassar resumed his campaign against the remainder of the Assyrian army in the beginning of the year 608 or 607 BC.
Topic: Medo-Babylonian conquest of the Assyrian Empire

Question 6: Who laid the foundation of the aforementioned empire?
Answer 6: Nabopolassar
Topic: Medo-Babylonian conquest of the Assyrian Empire

Question 7: Where was he from?
Answer 7: Babylon
Topic: Nabopolassar

Question 8: How is he related to Nineveh?
Answer 8: The Babylonians and the Medes wanted to sack the Assyrian capital of Nineveh. He continued a prolonged siege at the Battle of Nineveh and finally took control of the city. 
Topic: Nabopolassar

Question 9: What is the popular culture of this city which you mentioned just now?
Answer 9: English poet Edwin Atherstone wrote an epic ""The Fall of Nineveh"" which tells of an uprising against its king Sardanapalus of all the nations that were dominated by the Assyrian empire.
Topic: Nineveh

"
3QGHA0EA0J654P75ET6ZRGQTUTIBW2_335HHSX8CDBGMWA0XQB5L346IQHHDF,15,"Question 1: write a paragraph about the setting of the novel the kite runner
Answer 1: The story is set against a backdrop of tumultuous events, from the fall of Afghanistan's monarchy through the Soviet military intervention, the exodus of refugees to Pakistan and the United States, and the rise of the Taliban regime.
Topic: The Kite Runner

Question 2: Who wrote this novel ?
Answer 2:  Khaled Hosseini
Topic: The Kite Runner

Question 3: What is the theme of this novel ?
Answer 3: Themes of guilt and redemption feature prominently in the novel.
Topic: The Kite Runner

Question 4: Did the novel stir up any controversies ?
Answer 4: Yes, The film generated more controversy through the 30-second rape scene, with threats made against the child actors, who originated from Afghanistan.
Topic: The Kite Runner

Question 5: What was the films name ?
Answer 5: The Kite Runner based on the novel.
Topic: The Kite Runner (film)

Question 6: Who were its cast members ?
Answer 6: UNANSWERABLE
Topic: 

Question 7: How was the movies critical reception ?
Answer 7: The film received generally positive reviews, the film holds a 65% approval rating on Rotten Tomatoes, based on 175 reviews with an average rating of 6.43/10.
Topic: The Kite Runner (film)

Question 8: Any awards received by the writer of this novel ?
Answer 8: Yes, Exclusive Books Boeke Prize, British Book Awards, Book Sense Book of the Year Awards 
Topic: Khaled Hosseini

"
3XDJY5RK6XYVFVDPZROOLCMBGB2U4Q_3JTPR5MT0XPZ8ICDJI3WKHJREGZK5O,7,"Question 1: When did Hurricane Carmen occur?
Answer 1: Middle of August 1974
Topic: Hurricane Carmen

Question 2: Which country did it hit?
Answer 2: Africa
Topic: Hurricane Carmen

Question 3: Where did it originate?
Answer 3: Africa
Topic: Hurricane Carmen

Question 4: What are some ancient civilizations found in this country?
Answer 4:  Pharaonic and Phoenicia civilization
Topic: Africa

"
386659BNUQUY7A4QE2R2Y7R1OB201C_3JMQI2OLG4IVK1C9V1DVALONL1FNDZ,21,"Question 1: when was asl recognized as an official language
Answer 1: UNANSWERABLE
Topic: 

Question 2: Who created it?
Answer 2: Thomas Hopkins Gallaudet
Topic: American Sign Language

Question 3: How is it classified?
Answer 3: It brought together Old French Sign Language, various village sign languages, and home sign systems; ASL was created in that situation by language contact.
Topic: American Sign Language

Question 4:  Do you know what percentage of the population uses it?
Answer 4: UNANSWERABLE
Topic: 

Question 5: Is there a stigma to it?
Answer 5: Stigmas associated with sign languages and the use of sign for educating children often lead to the absence of sign during periods in children's lives when they can access languages most effectively.
Topic: American Sign Language

Question 6: What is its syntax?
Answer 6: ASL is a subject–verb–object (SVO) language, but various phenomena affect that basic word order. Basic SVO sentences are signed without any pauses
Topic: American Sign Language

Question 7: Do you know how many people use sign language?
Answer 7: Between 250,000 and 500,000
Topic: American Sign Language

Question 8: Are there different varieties?
Answer 8: Yes, mutual intelligibility among ASL varieties is high, and the variation is primarily lexical.
Topic: American Sign Language

Question 9: What are the properties of S-V-O?
Answer 9: Subject–verb–object languages almost always place relative clauses after the nouns which they modify and adverbial subordinators before the clause modified, with varieties of Chinese being notable exceptions.
Topic: Subject–verb–object

Question 10: Can you give me a few examples?
Answer 10: ""The dog bit Andy"" and ""Andy bit the dog"" mean two completely different things, while, in case of ""Bit Andy the dog"", it may be difficult to determine whether it's a complete sentence or a fragment, with ""Andy the dog"" the object and an omitted/implied subject.
Topic: Subject–verb–object

Question 11: What is fingerspelling in ASL?
Answer 11: A form of borrowing, a linguistic process wherein words from one language are incorporated into another.
Topic: American Sign Language

"
3WYZV0QBGOQ7HYSTJB9YDXRLKUDXBM_31J7RYEC0Q3B46TC3VDLWRJPR9CL15,15,"Question 1: where did titans came from attack on titan
Answer 1: UNANSWERABLE
Topic: 

Question 2: Is it a film or tv series?
Answer 2: An anime television series
Topic: Attack on Titan

Question 3: Who is the director?
Answer 3: Tetsurō Araki
Topic: Attack on Titan

Question 4: Is it based on any novel?
Answer 4: Yes
Topic: Attack on Titan

Question 5: Which one?
Answer 5: UNANSWERABLE
Topic: 

Question 6: Is it politically interpreted?
Answer 6: Yes, one of the magazine accused them of having a militaristic message that serves Japanese Prime Minister Shinzo Abe's political leanings.
Topic: Attack on Titan

Question 7: Can you name any character from it?
Answer 7: Eren Yeager, Mikasa Ackerman and Armin Arlert.
Topic: Attack on Titan

Question 8: When was the above mentioned person elected as the mentioned minister for the first time?
Answer 8: 26 September 2006
Topic: Shinzo Abe

"
35F6NGNVM8PQAW0L67P8ZUXY8FX7TN_3K1H3NEY7L52M0FPDKTN03S54WSDGD,3,"Question 1: who played professor sybil trelawney in harry potter
Answer 1: Emma Thompson.
Topic: Harry Potter (film series)

Question 2: Who is the aforementioned person?
Answer 2: She is a British actress, screenwriter, activist, author and comedian.
Topic: Emma Thompson

"
31GN6YMHLPY4LBO7PFSUH50TZKJWSA_3ICOHX7ENCHA32I4VDF4LTNAXOWE0Q,17,"Question 1: when did school leaving age rise to 15
Answer 1: Education Act 1944.
Topic: Raising of school leaving age in England and Wales

Question 2: Is it a survey?
Answer 2: No, an act to address the country's educational needs.
Topic: Education Act 1944

Question 3: What is age wise participation?
Answer 3: The plans of 2007  included the duty for parents to assist their children in education or training participation until the date of their 18th birthday, as well as detailing proposed moves to reform the apprenticeship system and to improve achievement for children in care. 
Topic: Raising of school leaving age in England and Wales

Question 4: Describe a few of the effects because of it?
Answer 4: There is a downward trend in the number of unskilled jobs available.
Topic: Raising of school leaving age in England and Wales

Question 5: Who opposed it?
Answer 5: MPs from both the Conservatives and the Liberal Democrats.
Topic: Raising of school leaving age in England and Wales

Question 6: When was the bill for the act introduced?
Answer 6: The Fisher Act was introduced in 1918.
Topic: Raising of school leaving age in England and Wales

Question 7: What are the reasons behind the rise of the school leaving age?
Answer 7: Many of the increases in the 19th and 20th centuries were intended to generate more skilled labour by giving more time for students to gain skills and qualifications.
Topic: Raising of school leaving age in England and Wales

Question 8: What changes were done in education post-war?
Answer 8: In 1944, Rab Butler introduced the Education Act 1944, which raised the school leaving age to 15: other changes included the introduction of the Tripartite System.
Topic: Raising of school leaving age in England and Wales

Question 9: Who is the person mentioned above?
Answer 9: A prominent British Conservative politician.
Topic: Rab Butler

"
