conv_id,turn_id,text
34R0BODSP159Y945SJLG2OJ1EXC5E9_3RZS0FBRWKGYUL2AG7OZA6OFKL0CP9,3,"Question 1: who does the voice of marceline on adventure time
Answer 1: Olivia Olson
Topic: Marceline the Vampire Queen (Introduction)

Question 2: Where is she from?
Answer 2: Los Angeles, California
Topic: Olivia Olson (Personal life.)

"
3AC6MFV6APV6D6VUKL7FWTAUN7GHZJ_3XDJY5RK6XYVFVDPZROOLCMBGKFU4L,23,"Question 1: why does xenon have a high boiling point
Answer 1: UNANSWERABLE
Topic: 

Question 2: What kind of a substance is it?
Answer 2: It is a colorless, dense, odorless noble gas found in Earth's atmosphere in trace amounts.
Topic: Xenon (Introduction)

Question 3: By whom was it discovered?
Answer 3: William Ramsay, Morris Travers 
Topic: Xenon (History.)

Question 4: Where does it occur?
Answer 4: In Earth's atmosphere
Topic: Xenon (Occurrence and production.)

Question 5: How is it produced?
Answer 5: By fractional distillation
Topic: Xenon (Occurrence and production.)

Question 6: Is it used in sports?
Answer 6: Yes - Inhaling a xenon/oxygen mixture is known to increase red blood cell production and athletic performance. However, the World Anti Doping Agency added xenon to the list of prohibited substances
Topic: Xenon (Sports doping.)

Question 7: And any medical uses?
Answer 7: General anesthetic and as a Neuroprotectant
Topic: Xenon (Anesthesia.)

Question 8: What safety measures need to be taken for this gas?
Answer 8: Xenon gas can be safely kept in normal sealed glass or metal containers at standard temperature and pressure. Xenon is non-toxic but it causes mild to full surgical anesthesia when inhaled in high concentrations with oxygen; many oxygen–xenon compounds are toxic, they are also explosive
Topic: Xenon (Precautions.)

Question 9: Can you tell me a bit more about the former discoverer of this gas?
Answer 9: A Scottish chemist who discovered the noble gases. 
Topic: William Ramsay (Introduction)

Question 10: Where was he born?
Answer 10: Glasgow, Scotland
Topic: William Ramsay (Early years.)

Question 11: Was he a part of any institution?
Answer 11: Yes - University College London (UCL) as the chair of Chemistry
Topic: William Ramsay (Career.)

Question 12: What is the logo of this college?
Answer 12: UCL exclusively uses its logo
Topic: University College London (Logo, arms and colours.)

"
3J6BHNX0U9YGAY2LS5S5U0WSOYAKN1_3LOJFQ4BOXL7OMB83BE2YVKYAU8DKC,11,"Question 1: who wrote the music and lyrics to the song kinky boots
Answer 1: Cyndi Lauper
Topic: Kinky Boots (musical) (Introduction)

Question 2: Who is the singer?
Answer 2: Cyndi Lauper
Topic: Kinky Boots (musical) (Introduction)

Question 3: Whose story does the musical convey?
Answer 3: Based on the 2005 British film ""Kinky Boots"", the musical tells the story of Charlie Price.
Topic: Kinky Boots (musical) (Introduction)

Question 4: When was its release?
Answer 4: 2005
Topic: Kinky Boots (film) (Introduction)

Question 5: What was the response it received?
Answer 5: The film received mixed reviews on release, with critics decrying the ""formulaic Britcom plot""
Topic: Kinky Boots (film) (Critical response.)

Question 6: What can you tell me about the songwriter?
Answer 6: She is an American singer, songwriter, actress and activist; her career has spanned over 40 years.
Topic: Cyndi Lauper (Introduction)

"
39KV3A5D18DPVWN6H7KIPP1C6TB7SK_37J05LC5AXPCD25QLQEQXGKLWL1JD9,19,"Question 1: who sings the song you're going to miss me when i'm gone
Answer 1: Anna Kendrick
Topic: Cups (song) (Introduction)

Question 2: By whom was this written?
Answer 2:  A. P. Carter
Topic: When I'm Gone (Carter Family song) (Introduction)

Question 3: Was it commercially successful? 
Answer 3: UNANSWERABLE
Topic: 

Question 4: How was it received by the people?
Answer 4: UNANSWERABLE
Topic: 

Question 5:  Does the singer have any other profession? 
Answer 5: She is an actor also 
Topic: Anna Kendrick (Introduction)

Question 6: Is she married?
Answer 6: No but she is dating Ben Richardson 
Topic: Anna Kendrick (Personal life.)

Question 7: Who were her parents?
Answer 7: Janice (née Cooke) and  William Kendrick
Topic: Anna Kendrick (Early life.)

Question 8: What is the profession of the person whom she is dating?
Answer 8: Cinematographer
Topic: Anna Kendrick (Personal life.)

Question 9: Where is he from?
Answer 9: England 
Topic: Anna Kendrick (Early life.)

Question 10: What projects have he worked on?
Answer 10: ""Beasts of the Southern Wild"" and ""The Fault in Our Stars"".
Topic: Ben Richardson (Introduction)

"
3J94SKDELN2RUC63R1H9G4O1VK5D5Y_3G9UA71JW07JK2KEPQIHHMXARAXJ7X,17,"Question 1: who plays the dwarf in game of thrones
Answer 1: Peter Hayden Dinklage
Topic: Peter Dinklage (Introduction)

Question 2: What genetic condition does he have?
Answer 2: He was born with achondroplasia, a common form of dwarfism.
Topic: Peter Dinklage (Early life.)

Question 3: What causes this condition?
Answer 3:  Hormonal cause, such as growth-hormone deficiency.
Topic: Dwarfism (Causes.)

Question 4: How can it be diagnosed?
Answer 4:  Genetic testing and diagnostic imaging may be used to determine the exact condition.
Topic: Dwarfism (Diagnosis.)

Question 5: Can it be treated?
Answer 5: Genetic mutations of most forms of dwarfism caused by bone dysplasia cannot be altered. Forms of dwarfism associated with the endocrine system may be treated using hormonal therapy. 
Topic: Dwarfism (Management.)

Question 6: What difficulties does an adult with such condition faces?
Answer 6:  For a person with dwarfism, height discrimination can lead to ridicule in childhood and discrimination in adulthood.
Topic: Dwarfism (Introduction)

Question 7: Are there any sports organised for them?
Answer 7: Yes, he Dwarf Athletic Association of America and the Dwarf Sports Association UK provide opportunities for dwarfs to compete nationally and internationally in the Americas and Europe respectively.
Topic: Dwarfism (Dwarf sports.)

Question 8: Who are eligible to take part in sports organised by the former association?
Answer 8: UNANSWERABLE
Topic: 

Question 9: What is this association's mission?
Answer 9: ""To encourage people with dwarfism to participate in sports regardless of their level of skills.""
Topic: Dwarf Athletic Association of America (Mission.)

"
3AQN9REUTFM28R0P7QFT73Z989HYDS_3XEIP58NL0TLBTYMGTF04NGGNCNLZM,13,"Question 1: where is the fundus of the gallbladder located
Answer 1: It is a rounded base, angled so that it faces the abdominal wall
Topic: Gallbladder (Structure.)

Question 2: What is the function of a gallbladder?
Answer 2: It main function s to store bile, also called gall, needed for the digestion of fats in food
Topic: Gallbladder (Function.)

Question 3: Can it be removed?
Answer 3: Yes the procedure is called cholecystectomy
Topic: Gallbladder (Gallbladder removal.)

Question 4: How is it performed?
Answer 4: Either by laparoscopically, using a video camera, or via an open surgical technique.
Topic: Cholecystectomy (Introduction)

Question 5: What would be the reasons to do so?
Answer 5: For symptomatic gallstones and other gallbladder conditions
Topic: Cholecystectomy (Introduction)

Question 6: Is it an organ?
Answer 6: Yes a small hollow organ
Topic: Gallbladder (Introduction)

Question 7: What colour is the substance that you just mentioned which is stored in this organ??
Answer 7: dark-green-Do-yellowish-brown fluid 
Topic: Bile (Introduction)

"
3K2CEDRACB79VZ78ADRXICUO2VXTM6_32TZXEA1OLQSIP6T2Q7RQCUTOLM14B,19,"Question 1: where is rohan in lord of the rings
Answer 1: It is bordered to the north by the Fangorn forest, to the northeast are the walls of Emyn Mui, to the east are the mouths of the River Entwash, and the Mering Stream, to the south lie the White Mountains and to the west are the rivers Adorn and Isen.
Topic: Rohan (Middle-earth) (Borders.)

Question 2: How did it get it's name?
Answer 2: Tolkien used Old English for the kingdom's language and names.
Topic: Rohan (Middle-earth) (Introduction)

Question 3: Which is it's capital city?
Answer 3: Edoras.
Topic: Rohan (Middle-earth) (Capital.)

Question 4: Which language is spoken there?
Answer 4: Rohirric or Rohanese.
Topic: Rohan (Middle-earth) (Language.)

Question 5: Has it appeared in any form of art?
Answer 5: UNANSWERABLE
Topic: 

Question 6: What kind of people can we find here?
Answer 6: They have an Anglo-Saxon culture and language, with Gothic attributes.
Topic: Rohan (Middle-earth) (People.)

Question 7: What different animals can be seen here?
Answer 7: Horses.
Topic: Rohan (Middle-earth) (Horses and warfare.)

Question 8: Did the place witness any war?
Answer 8: Yes, the Battle of the Pelennor Fields.
Topic: Rohan (Middle-earth) (War of the Ring.)

Question 9: When did it happen?
Answer 9: UNANSWERABLE
Topic: 

Question 10: Who all take part in this?
Answer 10: Sauron's army, armies of Gondor and Rohan.
Topic: Battle of the Pelennor Fields (Participants.)

"
3CKVGCS3PGBBDLNMW8Z9AARPYOR0SH_3BFNCI9LYKWLBF2RRSJHHHT0EMY37S,9,"Question 1: who is the manager of wales rugby team
Answer 1: UNANSWERABLE
Topic: 

Question 2: Where is this team from?
Answer 2: Wales
Topic: Wales national rugby union team (Introduction)

Question 3: Is that the national game of this place?
Answer 3: Rugby union is seen as a symbol of Welsh identity and an expression of national consciousness.
Topic: Wales (Sport.)

Question 4: What is the speciality in food here?
Answer 4: Traditional Welsh dishes include laverbread, bara brith, cawl, cawl cennin and Welsh cakes.
Topic: Wales (Cuisine.)

Question 5: How is the second last mentioned dish made?
Answer 5: It is a soup based on potatoes, leeks, broth (usually chicken), and heavy cream.
Topic: Leek soup (Introduction)

"
385MDVINFCLBM85H2LJGP4962SPJWH_3DFYDSXB2W6YU4GC7L4F7GO9HCEUJT,21,"Question 1: who was president when the washington monument was built
Answer 1: UNANSWERABLE
Topic: 

Question 2: When was it built?
Answer 2: Construction began in 1848.
Topic: Washington Monument (Introduction)

Question 3: When did it get completed?
Answer 3: 1888
Topic: Washington Monument (Introduction)

Question 4: Who built it?
Answer 4: Robert Mills was the architect.
Topic: Washington Monument (Design.)

Question 5: Did he also design it?
Answer 5: Yes, the society held a competition for designs, and he was the winner.
Topic: Washington Monument (Design.)

Question 6: Who inaugurated it?
Answer 6: Chester A. Arthur
Topic: Washington Monument (Dedication.)

Question 7: Who was he?
Answer 7: He was  an American attorney and politician who served as the 21st president of the United States from 1881 to 1885.
Topic: Chester A. Arthur (Introduction)

Question 8: Where is the monument located?
Answer 8: On the National Mall in Washington, D.C.
Topic: Washington Monument (Introduction)

Question 9: Which country?
Answer 9: United States of America
Topic: Washington, D.C. (Introduction)

Question 10: Who was the monument named after?
Answer 10:  George Washington
Topic: Washington, D.C. (Introduction)

Question 11: Was he a president?
Answer 11: Yes, he was the first president of the United States.
Topic: George Washington (Introduction)

"
30UZJB2POHI6OBO83Z4KJXF4N8M53I_3XDJY5RK5SR8RMXR4EHB1EZQ0PB4UK,13,"Question 1: where has jill been on young and the restless
Answer 1: Soap opera 
Topic: Jill Abbott (Introduction)

Question 2: Who is Jill Abbott?
Answer 2:  Jill Abbott is a fictional character from  ""The Young and the Restless"".
Topic: Jill Abbott (Introduction)

Question 3: What is this?
Answer 3: It is an American television soap opera
Topic: The Young and the Restless (Introduction)

Question 4: What is the storyline?
Answer 4: ""The Young and the Restless"" originally focused on two core families: the wealthy Brooks family and the working class Foster family, Jill Abbott and Katherine Chancellor, the longest rivalry on any American soap opera
Topic: The Young and the Restless (Introduction)

Question 5: What is the historical account behind this?
Answer 5: It began airing on March 26, 1973, replacing the cancelled soap opera, ""Where the Heart Is"". Bell worked as head writer from the debut of the series until his retirement in 1998.
Topic: The Young and the Restless (History.)

Question 6: Where did it air?
Answer 6: March 26, 1973
Topic: The Young and the Restless (Introduction)

Question 7: Where is known about this aforesaid opera?
Answer 7:  A soap opera  is a radio or television serial dealing especially with domestic situations and frequently characterized by melodrama, ensemble casts and sentimentality
Topic: Soap opera (Introduction)

"
