conv_id,turn_id,text
3D0LPO3EAB5TCOREXZT9IXB8DD9YOR_3OCZWXS7ZODN4FEX958KFJ9LN30L5H,7,"Question 1: when did the birth control pill get invented
Answer 1: UNANSWERABLE
Topic: 

Question 2: What is Birth Control?
Answer 2: It  is a method or device used to prevent pregnancy.
Topic: Birth control (Introduction)

Question 3: Name a few other types or ways of the above mentioned term.
Answer 3: They include barrier methods, hormonal birth control, intrauterine devices (IUDs), sterilization, and behavioral methods.
Topic: Birth control (Methods.)

Question 4: Name  a few signs gestation.
Answer 4:  barrier methods, hormonal birth control, intrauterine devices (IUDs), sterilization, and behavioral methods.
Topic: Pregnancy (Introduction)

"
3G4VVJO6Q4T31SUW3XCAINO85NOPKH_3XJOUITW9Z4N4NLYXJ5RJJ1ETW1QTF,31,"Question 1: What is Scary Monsters?
Answer 1: The fourteenth episode of the ninth season of the American science fiction television series ""The X-Files""
Topic: Scary Monsters (The X-Files) (Introduction)

Question 2: Who wrote this episode?
Answer 2: Thomas Schnauz
Topic: Scary Monsters (The X-Files) (Introduction)

Question 3: Who are the characters in it?
Answer 3: John Doggett, Monica Reyes, Dana Scully
Topic: Scary Monsters (The X-Files) (Introduction)

Question 4: Which network was it aired on?
Answer 4: Fox network and BBC Two
Topic: Scary Monsters (The X-Files) (Broadcast and reception.)

Question 5: Who is the owner of the latter mentioned network?
Answer 5: British Broadcasting Corporation
Topic: BBC Two (Introduction)

Question 6: When was it launched?
Answer 6: 21 April 1964
Topic: BBC Two (Introduction)

Question 7: Does it have regional variation?
Answer 7: Yes, BBC Two also has regional variations in Wales and Northern Ireland.
Topic: BBC Two (Regional variations.)

Question 8: Who is the creator of the series of the episode you mentioned?
Answer 8: Chris Carter
Topic: The X-Files (Introduction)

Question 9: Who composed its music?
Answer 9: Mark Snow
Topic: The X-Files (Music.)

Question 10: Does this series have its merchandise?
Answer 10: Yes, a 6-player pinball game, called ""The X-Files"", was produced by Sega in 1997
Topic: The X-Files (Merchandise.)

Question 11: What can you tell about its legacy?
Answer 11: ""The X-Files"" directly inspired other TV series, including ""Strange World"", ""The Burning Zone"", ""Special Unit 2""
Topic: The X-Files (Legacy.)

Question 12: Where is the headquarter of the producer of the merchandise?
Answer 12: USA
Topic: Sega (Entry into the game console market (1982–1989).)

Question 13: Was this company restructured?
Answer 13: Yes, in April 2015, Sega Corporation was reorganized into Sega Group, one of three groups of Sega Sammy Holdings, and in June 2017, Chris Bergstresser replaced Jurgen Post as president and COO of Sega Europe
Topic: Sega (Restructuring (2015–present).)

Question 14: Can you mention some other games developed or produced by them?
Answer 14: ""Sonic the Hedgehog"", ""Total War"", ""Yakuza""
Topic: Sega (Introduction)

Question 15: Who is the main character in the first one?
Answer 15: Sonic, a blue hedgehog; Doctor Ivo Robotnik; Tailsr, a yellow fox
Topic: Sonic the Hedgehog (Characters and lore.)

Question 16: Does it have a cancelled version?
Answer 16: Yes, U.S. Gold acquired the rights to make a version of ""Sonic the Hedgehog"" for the Amiga, ZX Spectrum, Commodore 64, Amstrad CPC and Atari ST personal computers, but these went unreleased
Topic: Sonic the Hedgehog (1991 video game) (Canceled versions.)

"
3QI9WAYOGQH6RW91YXFQJB1GBRD6SO_3P520RYKCHCQN51RIJ0L66540TN5UN,11,"Question 1: who does the voice of marceline on adventure time
Answer 1: Olivia Olson
Topic: Marceline the Vampire Queen (Introduction)

Question 2: Who is Marceline?
Answer 2: Marceline the Vampire Queen is a fictional character in the American animated Cartoon Network television series ""Adventure Time""
Topic: Marceline the Vampire Queen (Introduction)

Question 3: Is this a cartoon?
Answer 3: Yes
Topic: Marceline the Vampire Queen (Introduction)

Question 4: Does she have other appearances?
Answer 4: Yes - she appears in in the first season episode ""Evicted! ; In the third season episode ""Memory of a Memory""
Topic: Marceline the Vampire Queen (Appearances.)

Question 5: Who created her?
Answer 5: Pendleton Ward.
Topic: Marceline the Vampire Queen (Introduction)

Question 6: Describe her in brief
Answer 6: She is an American animator, screenwriter, producer, and voice actor who works for Cartoon Network Studios and Frederator Studios. 
Topic: Pendleton Ward (Introduction)

"
3W1K7D6QTGUWMTS8KTXJAI7WSLYZBQ_3CZH926SJHREQZG39R9JHU08UN94EK,17,"Question 1: Who was the Learned Hand?
Answer 1: Billings Learned Hand was an American judge and judicial philosopher.
Topic: Learned Hand (Introduction)

Question 2: Where was he born?
Answer 2: Albany, New York, USA
Topic: Learned Hand (Introduction)

Question 3: Which college did he go to?
Answer 3: Harvard College
Topic: Learned Hand (Harvard.)

Question 4: Where is this located?
Answer 4: Cambridge, Massachusetts, USA
Topic: Harvard College (Introduction)

Question 5: Name a major newspaper of the first place.
Answer 5: Cambridge Chronicle
Topic: Cambridge, Massachusetts (Newspapers.)

Question 6: Who owns this?
Answer 6: Gannett
Topic: Cambridge Chronicle (Introduction)

Question 7: Could you please elaborate on this term?
Answer 7: Gannett Co., Inc. is an American mass media holding company and the largest U.S. newspaper publisher
Topic: Gannett (Introduction)

Question 8: Do they possess assets?
Answer 8: Yes - It owns the national newspaper ""USA Today"" as well as ""Detroit Free Press""; ""The Indianapolis Star etc
Topic: Gannett (Introduction)

Question 9: By whom was the first one started?
Answer 9: Gannett's chairman Al Neuharth 
Topic: USA Today (History.)

"
3R5OYNIC3HM24BKJX6Q2JEB4O0FPTN_3S37Y8CWJDD87Z2UUR3P30781Y1W4T,13,"Question 1: Is 'The First Time' an episode from Glee?
Answer 1: Yes, it is the fifth episode of the third season.
Topic: The First Time (Glee) (Introduction)

Question 2: Who is the producer?
Answer 2: Bradley Buecker
Topic: The First Time (Glee) (Introduction)

Question 3: What ratings did it receive?
Answer 3: It garnered a 3.1/8 Nielsen rating/share in the 18–49 demographic.
Topic: The First Time (Glee) (Ratings.)

Question 4: What is the plot?
Answer 4: The episode features the preparations for performing ""West Side Story"" and the show's opening night, and the various events leading to the decisions by two of the show's student couples.
Topic: The First Time (Glee) (Introduction)

Question 5: When was the original performance made?
Answer 5: UNANSWERABLE
Topic: 

Question 6: Who composed the music?
Answer 6: Roberto Aguirre-Sacasa
Topic: The First Time (Glee) (Introduction)

Question 7: Has he worked on anything else apart from music?
Answer 7: Yes, playwright, screenwriter, and comic book writer.
Topic: Roberto Aguirre-Sacasa (Introduction)

"
3QX22DUVOONO8RBXF8RCJUI90N4VMU_31D0ZWOD0A57DP1SF8DIPAXJCA3A0Y,17,"Question 1: who stole the lightning bolt in percy jackson book
Answer 1: Ares
Topic: The Lightning Thief (Plot.)

Question 2: What is the title of the book you are talking about?
Answer 2: The Lightning Thief
Topic: The Lightning Thief (Introduction)

Question 3: Who is it written by?
Answer 3: Rick Riordan
Topic: The Lightning Thief (Introduction)

Question 4: Who is the character mentioned in the beginning?
Answer 4: He is the Greek god of war
Topic: Ares (Introduction)

Question 5: In the book, who did this bolt originally belong to?
Answer 5: Zeus
Topic: The Lightning Thief (Plot.)

Question 6: And who is he?
Answer 6: He is the sky and thunder god in ancient Greek religion, who rules as king of the gods of Mount Olympus.
Topic: Zeus (Introduction)

Question 7: How is he supposed to have been born?
Answer 7: Rhea gave birth to Zeus in Crete, handing Cronus a rock wrapped in swaddling clothes, which Uranus promptly swallowed.
Topic: Zeus (Birth.)

Question 8: Does he have parallels with deities in any other cultures?
Answer 8: Yes, with the Egyptian Ammon and the Etruscan Tinia
Topic: Zeus (Zeus and foreign gods.)

Question 9: Which region does the latter culture pertain to, in present day terms?
Answer 9: He, had temples in every city of Etruria.
Topic: Tinia (Introduction)

"
374UMBUHN5VWMDVHXOXJFGPC9W2CTB_33KGGVH24UNJGRU3M19WNNRRIVZ1XT,11,"Question 1: where is the cerebrospinal fluid that surrounds the spinal cord located
Answer 1: It fills the central canal of the spinal cord.
Topic: Cerebrospinal fluid (Introduction)

Question 2: What is this fluid?
Answer 2: It is a clear, colorless body fluid found in the brain and spinal cord.
Topic: Cerebrospinal fluid (Introduction)

Question 3: What does it contain?
Answer 3: It is largely similar to blood plasma except that the Cerebrospinal fluid is nearly protein-free compared with plasma and has some different electrolyte levels. Chlorides, sodium, 0.3% plasma proteins, fewer than 5 white blood cells per mm³
Topic: Cerebrospinal fluid (Contents.)

Question 4: What happens if the fluid leaks?
Answer 4: It can cause headaches, made worse by standing, moving and coughing, as the low CSF pressure causes the brain to ""sag"" downwards and put pressure on its lower structures.
Topic: Cerebrospinal fluid (CSF leak.)

Question 5: Is there a glue associated with this phenomena?
Answer 5: Treatment of an identified Cerebrospinal fluid leak may include injection of a person's blood into the epidural space, spinal surgery, or fibrin glue.
Topic: Cerebrospinal fluid (CSF leak.)

Question 6: What is this glue?
Answer 6: Fibrin glue (also called fibrin sealant) is a surgical formulation used to create a fibrin clot for hemostasis or wound healing. It contains separately packaged human fibrinogen and human thrombin. This glue is used as a supportive treatment in surgery 
Topic: Fibrin glue (Introduction)

"
3INZSNUD80WN7QSHZEND8M6I0F39DG_3S8A4GJRD39MJOQ5SSKVUYLNALZ6V1,21,"Question 1: here right in front of us is the best painting in the exhibit
Answer 1: UNANSWERABLE
Topic: 

Question 2: What is this all about?
Answer 2: UNANSWERABLE
Topic: 

Question 3: What kind of a work is this?
Answer 3: UNANSWERABLE
Topic: 

Question 4: What can you tell me about its composition?
Answer 4: UNANSWERABLE
Topic: 

Question 5: What can you tell me about ""Las Meninas"" as culmination of themes in Velázquez?
Answer 5: It is a 1656 painting in the Museo del Prado in Madrid, by Diego Velázquez, the leading artist of the Spanish Golden Age
Topic: Las Meninas (Introduction)

Question 6: What can you tell me about the style of the above mentioned artist?
Answer 6: He rarely signed his pictures, he rejected the pomp that characterized the portraiture of other European courts and he is known for using a rather limited palette, but he mixed the available paints with great skill to achieve varying hues.
Topic: Diego Velázquez (Style and technique.)

Question 7: Can you name any of his other works?
Answer 7: Portraits of Philip, Elisabeth of Bourbon, Don Baltasar Carlos and Francisco de Quevedo.
Topic: Diego Velázquez (Portraiture.)

Question 8: When was the aforesaid last work done?
Answer 8: UNANSWERABLE
Topic: 

Question 9: How is the artist associated with recreations of classic?
Answer 9: Pablo Picasso paid homage to Velázquez in 1957 when he recreated ""Las Meninas"" in 44 variations and Salvador Dalí, created in 1958 a work entitled "" Velázquez Painting the Infanta Margarita With the Lights and Shadows of His Own Glory"". 
Topic: Diego Velázquez (Modern recreations of classics.)

Question 10: Where was he born?
Answer 10: Seville, Spain.
Topic: Diego Velázquez (Early life.)

Question 11: What is the estimated population of the city?
Answer 11: About 690,000.
Topic: Seville (Introduction)

"
3OPLMF3EVA0EID018IBJTYWSUZCLNM_3KVQ0UJWQ2YQ3I6U8WMZ8SDM1LG5W9,21,"Question 1: What is Psittacosaurus?
Answer 1: It is a genus of extinct ceratopsian dinosaur from the Early Cretaceous
Topic: Psittacosaurus (Introduction)

Question 2: What kind of flora existed during the said period?
Answer 2: Flowering plants, Mesozoic gymnosperms, Gleicheniales
Topic: Cretaceous (Flora.)

Question 3: What kind of animals were founds in the sea at that time?
Answer 3: Rays, modern sharks and teleosts
Topic: Cretaceous (Marine fauna.)

Question 4: Can the second animal survive in captivity?
Answer 4: Yes, but most species are not suitable for home aquaria, and not every species sold by pet stores are appropriate
Topic: Shark (In captivity.)

Question 5: Do they exhibit properties of Biofluoresence?
Answer 5: Yes, but it is a characteristic of a few shark species, such as the swell shark and the chain catshark
Topic: Shark (Biofluoresence.)

Question 6: What kind of relationship does the second species has with humans?
Answer 6: It is not currently fished for human consumption and it is frequently displayed and bred at public aquariums.
Topic: Chain catshark (Relationship with humans.)

Question 7: What does the first species feed on?
Answer 7: Bony fish, molluscs, and crustaceans
Topic: Swell shark (Diet.)

Question 8: Where are they found?
Answer 8: The subtropical eastern Pacific Ocean between central California and to southern Mexico, with an additional population off the coast of Chile.
Topic: Swell shark (Introduction)

Question 9: Which environmental concerns are raised with regards to the ocean?
Answer 9: Small plastic fragments, Marine debris, Nuclear tests
Topic: Pacific Ocean (Environmental issues.)

Question 10: What are the types of these debris?
Answer 10: Plastic bags, balloons, buoys
Topic: Marine debris (Types of debris.)

Question 11: How is the first item dangerous for children?
Answer 11: Thin, conformable plastic bags, especially dry cleaning bags, have the potential to cause suffocation.
Topic: Plastic bag (Danger to children.)

"
3C8QQOM6JP7ZG39CGPRE4SDQSP6LIR_3UQVX1UPFSNI8M6O2TK3JSEL0VZ02N,27,"Question 1: where did the first pony express mail delivery take place
Answer 1: UNANSWERABLE
Topic: 

Question 2: What is it?
Answer 2: It was a mail service delivering messages, newspapers, and mail using relays of horse-mounted riders
Topic: Pony Express (Introduction)

Question 3: How is it operated?
Answer 3:  In 1860, the roughly 186 Pony Express stations were about apart along the Pony Express route. At each station stop, the express rider would change to a fresh horse, taking only the mail pouch called a ""mochila"" (from the Spanish for pouch or backpack) with him.  In emergencies, a given rider might ride two stages back to back, over 20 hours on a quickly moving horse.
Topic: Pony Express (Operation.)

Question 4: When did they start it?
Answer 4: April 3, 1860
Topic: Pony Express (Introduction)

Question 5: Which are some of the main stations?
Answer 5:  Platte Bridge Station
Topic: Pony Express (Pony Express route.)

Question 6: Where is it located?
Answer 6:  Wyoming
Topic: Fort Caspar (Introduction)

Question 7: Can you mention the names of a few riders of the mail delivery system?
Answer 7: Johnny Fry , Billy Richardson
Topic: Pony Express (First riders.)

Question 8: Who was the former?
Answer 8: He was the first ""official"" westbound rider of the Pony Express.
Topic: Johnny Fry (Introduction)

Question 9: When did they stop it's operations?
Answer 9: The Pony Express announced its closure on October 26, 1861
Topic: Pony Express (Closing.)

Question 10: Had they faced any attack during the mail delivery?
Answer 10: The Paiute War was a minor series of raids and ambushes initiated by American expansion into the territory of the Paiute Indian tribe in Nevada, which resulted in the disruption of mail services of the Pony Express.
Topic: Pony Express (Attacks.)

Question 11: What type of horses were used for this?
Answer 11: California horses, native ponies,  Morgans, Mustangs
Topic: Pony Express (Horses.)

Question 12: What are the features of the last one?
Answer 12: UNANSWERABLE
Topic: 

Question 13: How is this system remembered?
Answer 13:  In 1869, the United States Post Office issued the first U.S. postage stamp to depict an actual historic event, and the subject chosen was the Pony Express. The National Pony Express Association is a nonprofit, volunteer-led historical organization. Its purpose is to preserve the original Pony Express trail and to continue the memory and importance of Pony Express 
Topic: Pony Express (Commemorations.)

Question 14: When was the association mentioned founded?
Answer 14: 1960
Topic: National Pony Express Association (History and organization.)

"
