conv_id,turn_id,text
3JTPR5MTZSICK9WFO5WJ0JW6YSU5KB_3TL87MO8CMVF6C7MFHLT1V0YCMDLFD,7,"Question 1: this close relative of zn is used with nickel
Answer 1: UNANSWERABLE
Topic: 

Question 2: How does this metal look like?
Answer 2: Zinc is a bluish-white, lustrous, diamagnetic metal, though most common commercial grades of the metal have a dull finish.
Topic: Zinc (Physical properties.)

Question 3: Where can it be found abundantly?
Answer 3:  Large deposits are in Australia, Canada and the United States, with the largest reserves in Iran.
Topic: Zinc (Occurrence.)

Question 4: How was it used in the early days of human civilization?
Answer 4: Zinc ores were used to make the zinc–copper alloy brass, Judean brass from the 14th to 10th centuries BC contains 23% zinc.
Topic: Zinc (Ancient use.)

"
3GITHABAD3Y8HRETYCTEE2XJOXKN2U_3EQVJH0T55YARUMVETIXA59D2YOHT7,9,"Question 1: What is referred to as Oort cloud?
Answer 1: A theoretical cloud of predominantly icy planetesimals proposed to surround the Sun at distances ranging from 2,000 to 200,000 au
Topic: Oort cloud (Introduction)

Question 2: From where did it originate?
Answer 2: It is thought to have developed after the formation of planets from the primordial protoplanetary disc.
Topic: Oort cloud (Origin.)

Question 3: What is it composed of?
Answer 3: It consists of ices such as water, methane, ethane, carbon monoxide and hydrogen cyanide.
Topic: Oort cloud (Structure and composition.)

Question 4: What are the various states of the first one?
Answer 4: solid phase, liquid phase, and the gaseous phase
Topic: Water (States.)

Question 5: What kind of life form does it support?
Answer 5: Nearly all fish, marine mammals, amphibians
Topic: Water (Aquatic life forms.)

"
3SX4X51T95MF4F99C6M6Z9GMQAVAOB_3P7RGTLO7JQWEOOUEEUDSSZD65LKA1,15,"Question 1: what is the scientific name for the fungi kingdom
Answer 1: Mycobiota
Topic: Fungus (Etymology.)

Question 2: What is the human form of this mentioned type?
Answer 2: ""Candida"" genera, found on the surface and in the gastrointestinal system of humans.
Topic: Mycobiota (Human mycobiota.)

Question 3: What are its uses? 
Answer 3: UNANSWERABLE
Topic: 

Question 4: What is the characteristic of the first mentioned organism?
Answer 4: They have chitin in their cell walls; they are heterotrophs; acquire their food by absorbing dissolved molecules.
Topic: Fungus (Introduction)

Question 5: What is this mentioned thing in their walls?
Answer 5: A.k.a CHON - a long-chain polymer of ""N""-acetylglucosamine, a derivative of glucose.
Topic: Chitin (Introduction)

Question 6: Where did it take its name from?
Answer 6: From the French word ""chitine"", which was derived from the Greek word χιτών (chiton), meaning covering.
Topic: Chitin (Etymology.)

Question 7: What is its health effect?
Answer 7: Protozoa, fungi, arthropods, and nematodes, which produce it, are often pathogens in other species.
Topic: Chitin (Health effects.)

Question 8: How is it used in farming?
Answer 8: It is a good inducer of plant defense mechanisms for controlling diseases; used as a soil fertilizer to improve fertility and plant resilience that may enhance crop yields.
Topic: Chitin (Agriculture.)

"
3TKXBROM6YNG9M1A8HME8BNJ4KTJI0_3OLZC0DJ9OSP0H14P60XBZYDZ70IVK,21,"Question 1: Where can you see the North Carolina Highway 132?
Answer 1: New Hanover County.
Topic: North Carolina Highway 132 (Introduction)

Question 2: Can you describe the route?
Answer 2: Begins at US 421 then follows the four-lane College Road to the north, with businesses on the western side and multiple neighborhoods along the eastern side.
Topic: North Carolina Highway 132 (Route description.)

Question 3: Which country does this highway lie?
Answer 3: U. S.
Topic: North Carolina Highway 132 (Introduction)

Question 4: Can you tell me something about the state where the highway lies?
Answer 4: It is the 28th largest and 9th-most populous of the 50 United States.
Topic: North Carolina (Introduction)

Question 5: What is their estimated population?
Answer 5: 10,488,084 
Topic: North Carolina (Demographics.)

Question 6: According to which year's Sensex?
Answer 6: 9.99% increase since the 2010 Census.
Topic: North Carolina (Demographics.)

Question 7: Can you tell me about their ethnicity?
Answer 7: UNANSWERABLE
Topic: 

Question 8: What are the various sources of economy?
Answer 8: Production of flue-cured tobacco and sweet potatoes, and farming of pigs and hogs, trout, and turkeys.
Topic: North Carolina (Economy.)

Question 9: What are some of the famous tourist destinations?
Answer 9: Carowinds amusement park, Charlotte Motor Speedway, U.S. National Whitewater Center, to name a few
Topic: North Carolina (Tourism.)

Question 10: What history does the motor speedway have?
Answer 10: Designed and built by Bruton Smith and Curtis Turner in 1959, and first World 600 NASCAR race was held here on June 19, 1960.
Topic: Charlotte Motor Speedway (History.)

Question 11: What is their road course?
Answer 11: 1.5-mile oval with the infield road-racing section over 17 turns. 
Topic: Charlotte Motor Speedway (Road course.)

"
3W0KKJIASWMIV0VFHGAZW1TIG608KE_3Z56AA6EL9DQHACU9DQHR0PVZG5M6B,23,"Question 1: Who is William III of England?
Answer 1: sovereign Prince; Stadtholder; King of England, Ireland and Scotland
Topic: William III of England (Introduction)

Question 2: Has he won any battle?
Answer 2: Yes - Battle of the Boyne
Topic: William III of England (Introduction)

Question 3: Why was 1672 the disaster year?
Answer 3: In the Franco-Dutch War and the Third Anglo-Dutch War the Netherlands was invaded by France and its allies.
Topic: William III of England (""Disaster year"": 1672.)

Question 4: When was the first war mentioned above fought?
Answer 4: 1672 to 1678
Topic: Franco-Dutch War (Introduction)

Question 5: Did any negotiation happen in or after this war?
Answer 5: Yes - peace negotiations
Topic: Franco-Dutch War (Peace negotiations.)

Question 6: Who was the battle fought between, the one that the king won?
Answer 6: The forces of King James II of England and Ireland, VII of Scotland; versus the forces of King William III
Topic: Battle of the Boyne (Introduction)

Question 7: Where did it take place?
Answer 7: River Boyne close to the town of Drogheda, Republic of Ireland
Topic: Battle of the Boyne (Introduction)

Question 8: What is the climate like in the country mentioned above?
Answer 8: Temperate oceanic climate
Topic: Republic of Ireland (Climate.)

Question 9: Can you mention some of the features of their symbol?
Answer 9: The shamrock, a type of clover, has been a national symbol of Ireland since the 17th century
Topic: Republic of Ireland (State symbols.)

Question 10: What are some of the famous cuisines here?
Answer 10: Boxty, colcannon, coddle, stew, and bacon and cabbage.
Topic: Republic of Ireland (Cuisine.)

Question 11: Is the first dish associated with any significant day?
Answer 11: Yes - St Brigid's Day
Topic: Boxty (St. Brigid's Day.)

Question 12: What does the name of the dish means?
Answer 12: Possibly from the Irish ""arán boch t tí"" meaning ""poor house bread"" or ""bácús"" meaning ""bakehouse"".
Topic: Boxty (Etymology.)

"
37OPIVELUU9IOP7ODGK3V2W0X7HAH7_3L55D8AUFA3S3ZUB7UKINXHRN6FCYA,27,"Question 1: where does it get the hottest in the united states
Answer 1: Phoenix
Topic: Phoenix, Arizona (Climate.)

Question 2: What is the total population here?
Answer 2: 1,445,632
Topic: Phoenix, Arizona (Demographics.)

Question 3: Is the place free of crimes?
Answer 3: No, by the 1970s crime continued to increase in the city at a faster rate than almost anywhere else in the country.
Topic: Phoenix, Arizona (Crime.)

Question 4: Does it have any parks in it?
Answer 4: Yes, national parks like South Mountain Park.
Topic: Phoenix, Arizona (Parks and recreation.)

Question 5: How big is the park?
Answer 5: Around 13,000 acres
Topic: South Mountain Park (Geography and ecology.)

Question 6: Does it have any animals preserved?
Answer 6: UNANSWERABLE
Topic: 

Question 7: What facilities does the government provide in the state?
Answer 7:  The Arizona Department of Juvenile Corrections, and the Arizona Department of Health Services.
Topic: Phoenix, Arizona (State government facilities.)

Question 8: Do they conduct any annual events?
Answer 8: Yes, the Scottsdale Arabian Horse Show, Pueblo Grande Indian Market, and Grand Menorah Lighting, to name a few.
Topic: Phoenix, Arizona (Other attractions and annual events.)

Question 9: What is the first one about?
Answer 9: It is the world's largest Arabian horse show.
Topic: Scottsdale Arabian Horse Show (Introduction)

Question 10: When was it organized for the first time?
Answer 10: 1955
Topic: Scottsdale Arabian Horse Show (Introduction)

Question 11: Can you name a few sports played here?
Answer 11: College football, indoor football, major league baseball
Topic: Phoenix, Arizona (Other sports.)

Question 12: Can we find any museum here?
Answer 12: Yes, the Phoenix Art Museum, Arizona Capitol Museum, Scottsdale Museum of Contemporary Art, and many more.
Topic: Phoenix, Arizona (Museums.)

Question 13: What sort of collections does the first one have?
Answer 13: The collection is drawn from more than 19,000 works of American, Asian, European, Latin American, Western American, modern and contemporary art, and fashion design.
Topic: Phoenix Art Museum (Collections.)

Question 14: Who funds it?
Answer 14: Community support Community support accounts for approximately 80%, Government support is approximately 3%, corporate contributions constitute approximately 10%, and museum's endowment contributes the remainder, approximately 7%.
Topic: Phoenix Art Museum (Funding.)

"
3H5TOKO3D9PNPB7Q8WJ8L8LAX78647_3RZS0FBRWKGYUL2AG7OZA6OFKPFCPW,29,"Question 1: where does the heat source need to be for a geyser
Answer 1: The heat needed for geyser formation comes from magma that needs to be close to the surface of the earth.
Topic: Geyser (Form and function.)

Question 2: What is this structure that needs heat to form?
Answer 2: Magma (from Ancient Greek is the molten or semi-molten natural material 
Topic: Magma (Introduction)

Question 3: Where are the major fields located?
Answer 3: Geysers are quite rare, requiring a combination of water, heat, and fortuitous plumbing. The combination exists in few places on Earth.
Topic: Geyser (Major geyser fields and their distribution.)

Question 4: Where from does this name originate?
Answer 4: It comes from Geysir, which is a geyser in Iceland
Topic: Geyser (Etymology.)

Question 5: Is this place a country?
Answer 5: Yes, it is a Nordic island country
Topic: Iceland (Introduction)

Question 6: Who were the early settlers here?
Answer 6: Monks known as the Papar
Topic: Iceland (874–1262: Settlement and Commonwealth.)

Question 7: What species of flora are found here?
Answer 7: Northern birch, aspens, rowans
Topic: Iceland (Plants.)

Question 8: What are the major political parties here?
Answer 8:  Independence Party, the Left-Green Movement and the Progressive Party
Topic: Iceland (Politics.)

Question 9: What is this movement ?
Answer 9: The Left-Green Movement, officially the Left Movement – Green Candidature is an eco-socialist political party in Iceland.
Topic: Left-Green Movement (Introduction)

Question 10: When was it formed?
Answer 10: After the 2017 Icelandic parliamentary election
Topic: Left-Green Movement (Introduction)

Question 11: What are its ideals?
Answer 11: Focuses on democratic socialist values, feminism and environmentalism as well as increased democracy and direct involvement of the people in the administration of the country
Topic: Left-Green Movement (Ideology.)

Question 12: What are the climatic conditions of the country?
Answer 12: Subarctic climate. The warm North Atlantic Current ensures generally higher annual temperatures than in most places of similar latitude in the world.
Topic: Iceland (Climate.)

Question 13: What is this current?
Answer 13: A powerful warm western boundary current within the Atlantic Ocean
Topic: North Atlantic Current (Introduction)

Question 14: What calamities are common in this ocean?
Answer 14: Icebergs
Topic: Atlantic Ocean (Natural hazards.)

Question 15: What are the geographical features here?
Answer 15: It covers approximately 20 percent of Earth's surface and about 29 percent of its water surface area. It separates the ""Old World"" from the ""New World"".
Topic: Atlantic Ocean (Introduction)

"
304QEQWK0UXJ32BRK4PDA349HDZ0O4_37M4O367WOVUY6CG4UGCZUBV3LV5MF,23,"Question 1: Who is Elias Ashmole?
Answer 1: An English antiquary, politician, officer of arms, astrologer and student of alchemy.
Topic: Elias Ashmole (Introduction)

Question 2: Was there any building built in his memory?
Answer 2: Yes - Ashmolean Museum
Topic: Elias Ashmole (Introduction)

Question 3: Where is it located?
Answer 3: Beaumont Street, Oxford, England
Topic: Ashmolean Museum (Introduction)

Question 4: Does it host any exhibitions?
Answer 4: UNANSWERABLE
Topic: 

Question 5: Who are the Directors?
Answer 5: UNANSWERABLE
Topic: 

Question 6: Was it ever robbed?
Answer 6: Yes - On 31 December 1999 Cézanne’s landscape painting ""View of Auvers-sur-Oise"" was stolen
Topic: Ashmolean Museum (Theft.)

Question 7: When was the museum built?
Answer 7: 1678–1683
Topic: Ashmolean Museum (Introduction)

Question 8: Can you name some of the collections it has?
Answer 8: Pre-Raphaelite paintings, majolica pottery, English silver, Greek and Minoan pottery.
Topic: Ashmolean Museum (Collections.)

Question 9: What artworks can you find here?
Answer 9: Paintings given by Elias Ashmole to the University of Oxford in 1683
Topic: Ashmolean Museum (Broadway Museum and Art Gallery.)

Question 10: The painting that was stolen, when was it painted?
Answer 10: Believed to have been painted in 1879–80
Topic: View of Auvers-sur-Oise (Introduction)

Question 11: By whom?
Answer 11: Paul Cézanne
Topic: View of Auvers-sur-Oise (Introduction)

Question 12: What type of colour was used in the painting?
Answer 12: Blue, Green, white
Topic: View of Auvers-sur-Oise (Description.)

"
30OITAWPCVGR7FDHGNDGJ5818VFH99_3TTPFEFXDYX4PWBJIGA4ZVHZIU76HN,11,"Question 1: Where is Northern England located?
Answer 1: It is the northern part of England,  bordered by the Midlands to the south. It extends from the Anglo-Scottish border in the north to near the River Trent in the south.
Topic: Northern England (Introduction)

Question 2: Can you name a few of the old counties?
Answer 2: UNANSWERABLE
Topic: 

Question 3: Are there any waterbodies nearby?
Answer 3: Yes, Sankey Brook, a modern canal, the Grand Trunk Cana which links the rivers Mersey and Trent 
Topic: Northern England (Water.)

Question 4: What languages are spoken here?
Answer 4:  English, Polish, Urdu
Topic: Northern England (Languages.)

Question 5: What resources are found here?
Answer 5: Peat,  Millstone grit,  sandstones, iron ore, rock salt
Topic: Northern England (Natural resources.)

Question 6: How do the people here identify themselves?
Answer 6:  Northern England are straight-talking, grit and warmheartedness, as compared to the supposedly effete Southerners.
Topic: Northern England (Culture and identity.)

"
3QGHA0EA0J654P75ET6ZRGQTUL6WBV_367O8HRHKGESC95NF9MBMDH2EGTS46,9,"Question 1: where did the shark in jaws 2 come from
Answer 1: The Cable Junction Island which was drifting towards Cuba
Topic: Jaws 2 (Location.)

Question 2: What is the movie about ?
Answer 2: It concerns Chief Brody suspecting another great white shark is terrorizing the fictional sea side resort of Amity Island, following a series of incidents and disappearances, and his suspicions are eventually proven true.
Topic: Jaws 2 (Introduction)

Question 3: Whoa are the actors in the movie ?
Answer 3: Roy Scheider, Lorraine Gary, Murray Hamilton etc
Topic: Jaws 2 (Introduction)

Question 4: Where was it shot ?
Answer 4: Martha's Vineyard, Emerald Coast and Navarre Beach in Florida.
Topic: Jaws 2 (Location.)

Question 5: How was its critical response ?
Answer 5: It received mixed reviews.
Topic: Jaws 2 (Introduction)

"
