conv_id,turn_id,text
37MQ8Z1JQE2F5H29A1VCBK85BE52YS_3RWB1RTQDJTWIICXZV8U8KSWT8TP8L,17,"Question 1: when did apple release the first macbook pro
Answer 1: January - April, 2006
Topic: MacBook Pro (Introduction)

Question 2: What is this product?
Answer 2: A line of Macintosh portable computers
Topic: MacBook Pro (Introduction)

Question 3: Where did this portable name originate from?
Answer 3: UNANSWERABLE
Topic: 

Question 4: When did this mentioned company debut?
Answer 4: January 3, 1977
Topic: Apple Inc. (1976–1984: Founding and incorporation.)

Question 5: What is it about?
Answer 5: The Macintosh was introduced by a US$1.5 million Ridley Scott television commercial, ""1984"".
Topic: Macintosh (1984: Debut.)

Question 6: What happened when it revived?
Answer 6: Introduced its new iMac 
Topic: Macintosh (1998–2005: Revival.)

Question 7: What is the historical account of this mentioned new model?
Answer 7: Its announcement in 1998 was a source of controversy and anticipation among commentators, Mac fans, and detractors.
Topic: IMac (History.)

Question 8: What is its influence? 
Answer 8: It was the first Macintosh computer to have a USB port and subsequently, all Macs have included USB.
Topic: IMac (Influence.)

Question 9: Has it been updated?
Answer 9: Yes, to new Intel Core ""i-series"" processors
Topic: IMac (Updates.)

"
3M93N4X8HKTIFRO8IG9FSF6LWLVJSG_32ZCLEW0BZQL2Z8GQZ5LXA1A91OJP0,17,"Question 1: which emperor loved greek culture and adopted the wearing of a beard
Answer 1: UNANSWERABLE
Topic: 

Question 2: Where did Caligula reign/ 
Answer 2: Rome.
Topic: Caligula (Introduction)

Question 3: During which time?
Answer 3: AD 37 to 41.
Topic: Caligula (Introduction)

Question 4: Who was his predecessor?
Answer 4: Tiberius.
Topic: Caligula (Introduction)

Question 5: Who plotted against him?
Answer 5: Cassius Chaerea.
Topic: Caligula (Assassination and aftermath.)

Question 6: Whom did he marry?
Answer 6: UNANSWERABLE
Topic: 

Question 7: Did he take part in any battle?
Answer 7: Yes, during his reign, the empire annexed the client kingdom of Mauretania as a province.
Topic: Caligula (Introduction)

Question 8: Where is this located?
Answer 8:  It stretched from central present-day Algeria westwards to the Atlantic, covering northern Morocco, and southward to the Atlas Mountains.
Topic: Mauretania (Introduction)

Question 9: When did the Vandals capture this place?
Answer 9: 420s
Topic: Mauretania (Vandal kingdom.)

"
39XCQ6V3KYA5LUBQM12IQ0ROWF056V_32TZXEA1OLQSIP6T2Q7RQCUTO8P14O,7,"Question 1: what is the value of speed of light in vaccum
Answer 1: Its exact value is defined as “approximately”, because, by international agreement, a metre is defined as the length of the path travelled by light in vacuum during a time interval of second.
Topic: Speed of light (Introduction)

Question 2: Who was the first to attempt to measure it?
Answer 2: ""Isaac Beeckman"", in 1629.
Topic: Speed of light (First measurement attempts.)

Question 3: Who is he?
Answer 3: He was a Dutch philosopher and scientist.
Topic: Isaac Beeckman (Introduction)

Question 4: Did he also teach?
Answer 4: Yes, he taught at a school in Rotterdam.
Topic: Isaac Beeckman (Biography.)

"
3XQ4XW3OD9II9VQ0BV3NTYK4UASS2L_3B9J25CZ25JV7DI28OST5BTQ615SCU,13,"Question 1: who did gus kill with a box cutter
Answer 1: Gus slices his loyal henchman Victor's throat with a utility knife.
Topic: Box Cutter (Breaking Bad) (Introduction)

Question 2: What does this cutter refers to?
Answer 2: It is the fourth season premiere of the American television drama series ""Breaking Bad"".
Topic: Box Cutter (Breaking Bad) (Introduction)

Question 3: Who directed this season?
Answer 3: Adam Bernstein
Topic: Box Cutter (Breaking Bad) (Introduction)

Question 4: What are the characters of the above tv series?
Answer 4: ""Walter White”, ""Jesse Pinkman” and ""Gus Fring” are some of them.
Topic: Box Cutter (Breaking Bad) (Introduction)

Question 5: From where has its concept developed?
Answer 5: The concept emerged as Gilligan talked with his fellow ""X-Files"" writer Thomas Schnauz regarding their current unemployment and joked that the solution was for them to put a ""meth lab in the back of an RV and drive around the country cooking meth and making money"".
Topic: Breaking Bad (Conception.)

Question 6: Who acted out the first mentioned character from the list you mentioned?
Answer 6: Bryan Cranston
Topic: Breaking Bad (Introduction)

Question 7: And the third one?
Answer 7: Giancarlo Esposito
Topic: Breaking Bad (Introduction)

"
3HFWPF5AK9P7UDMJFVHSC8PW0863SP_336OE47KI2QKD35BJAXZSSK0X5UWVT,11,"Question 1: what is the population of massachusetts right now
Answer 1: 6,892,503 as of July 1, 2019
Topic: Massachusetts (Demographics.)

Question 2: What happened to this place during the twentieth century? 
Answer 2: The area's industrial economy declined in early 20th century and the Great Depression aggravated the crisis, but it emerged as a major military armaments producer in during the Second World War and after the war it transformed from industrial economy to a service based economy.
Topic: Massachusetts (20th century.)

Question 3: Who are some notable politicians belonging to this century?
Answer 3: John F. Kennedy, Robert F. Kennedy, George H. W. Bush among others.
Topic: Massachusetts (Notable 20th century politicians.)

Question 4: Where did the latter one study?
Answer 4: Greenwich Country Day School, Phillips Academy and then at Yale College
Topic: George H. W. Bush (Early life and education (1924–1948).)

Question 5: When was this second mentioned Academy established?
Answer 5: 1778
Topic: Phillips Academy (Introduction)

Question 6: What are some controversy regarding this?
Answer 6: In 2016 and 17, sexual harassment allegations were made against some of of its former teachers.
Topic: Phillips Academy (Controversies.)

"
3BA7SXOG1JWHUVSCCNCJDFSBUV5R8D_30Y6N4AHYP2TBQO3TVNZZ76C5M2DR5,7,"Question 1: how many seasons of friday night lights is there
Answer 1: 5 seasons.
Topic: Friday Night Lights (TV series) (Introduction)

Question 2: What type of series is this?
Answer 2: It is an American sports drama television series.
Topic: Friday Night Lights (TV series) (Introduction)

Question 3: What has inspired it?
Answer 3: H.G. ""Buzz"" Bissinger's non-fiction book.
Topic: Friday Night Lights (TV series) (Inspiration.)

Question 4: Who is the director?
Answer 4: Peter Berg.
Topic: Friday Night Lights (TV series) (Inspiration.)

"
3JGHED38FI49FRFDBQJKR9CY313Y7C_3QTFNPMJDBVYN2H5NJ2S1D7Q9ADNZ4,11,"Question 1: What does the term Ridge Route refer to?
Answer 1: A two-lane highway between Los Angeles County and Kern County, California.
Topic: Ridge Route (Introduction)

Question 2: Who constructed it?
Answer 2: California Highway Commission
Topic: Ridge Route (Construction.)

Question 3: Had the roadway faced any accident anytime?
Answer 3: Yes - A Ridge Route Alternate was built to prevent road accidents and to increase road capacity.
Topic: Ridge Route (Bypasses and the fate of the bypassed road.)

Question 4: Which places does the route connect?
Answer 4: Piru Canyon, Grapevine
Topic: Ridge Route (Bypasses and the fate of the bypassed road.)

Question 5: Where is the latter located?
Answer 5: Kern County, California
Topic: Grapevine, California (Introduction)

Question 6: Is Grapevine a town?
Answer 6: No, it is a small village and an unincorporated community
Topic: Grapevine, California (Introduction)

"
3BA7SXOG1JWHUVSCCNCJDFSBVIK8RK_3WPCIUYH1AE6R51VXKSUZM7UUUEDT8,23,"Question 1: what is the spitting dinosaur in jurassic park
Answer 1: ""Dilophosaurus""
Topic: Dilophosaurus (Cultural significance.)

Question 2: When was it discovered?
Answer 2: 1940
Topic: Dilophosaurus (History of discovery.)

Question 3: By whom?
Answer 3: Navajo Jesse Williams
Topic: Dilophosaurus (History of discovery.)

Question 4: What are it's features?
Answer 4: Slender and lightly built, its size was comparable to that of a brown bear.
Topic: Dilophosaurus (Description.)

Question 5: How does it move?
Answer 5:  They found that ""Dilophosaurus"" would have been able to draw its humerus backwards until it was almost parallel with the scapula, but could not move it forwards to a more than vertical orientation. The elbow could approach full extension and flexion at a right angle, but not achieve it completely.
Topic: Dilophosaurus (Motion.)

Question 6: What does it feed on?
Answer 6: They are known to have eaten fish, and gharials, which is the modern crocodile that eats the most fish. 
Topic: Dilophosaurus (Feeding and diet.)

Question 7: What is it classified into?
Answer 7:  Gregory S. Paul classified the halticosaurs as a subfamily of the family Coelophysidae, and suggested that ""Dilophosaurus"" could have been a direct descendant of ""Coelophysis"".
Topic: Dilophosaurus (Classification.)

Question 8: Was it portrayed in any novel?
Answer 8: Yes, it was featured in the novel ""Jurassic Park""
Topic: Dilophosaurus (Cultural significance.)

Question 9: Who wrote it?
Answer 9: Michael Crichton
Topic: Dilophosaurus (Cultural significance.)

Question 10: When was it published?
Answer 10: 1990
Topic: Jurassic Park (novel) (Introduction)

Question 11: What is it's genre?
Answer 11: Science fiction novel
Topic: Jurassic Park (novel) (Introduction)

Question 12: What does it deal with?
Answer 12: A cautionary tale about genetic engineering, it presents the collapse of an amusement park showcasing genetically re-created dinosaurs to illustrate the mathematical concept of chaos theory and its real world implications.
Topic: Jurassic Park (novel) (Introduction)

"
3ODOP6T3ASQZ7AOPLU75VV4YHY724F_3N3WJQXELSWV5IVARM6MHC693K1L2Q,5,"Question 1: who was prime minister when ww2 broke out
Answer 1: Arthur Neville Chamberlain
Topic: Neville Chamberlain (Introduction)

Question 2: For how long did he hold this title?
Answer 2: From May 1937 to May 1940.
Topic: Neville Chamberlain (Introduction)

Question 3: What was his career before joining politics?
Answer 3: He was a businessman.
Topic: Neville Chamberlain (Childhood and businessman.)

"
3PA41K45VNASI47EPQGOUKW1JFO7P0_3L7SUC0TTU08FQAHCB3NY1SJ6W7M0J,19,"Question 1: what episode does jim pretend to be a vampire
Answer 1: Business School
Topic: Business School (The Office) (Introduction)

Question 2: What premise does it deal with?
Answer 2:  In the episode, Michael Scott is invited by Ryan Howard to speak to his business school class. When many of the students question the usefulness of paper in a computerized world, Meanwhile, a bat becomes trapped in the office, leading Dwight Schrute on a mission to protect the employees.
Topic: Business School (The Office) (Introduction)

Question 3: Who directed it?
Answer 3: Joss Whedon
Topic: Business School (The Office) (Introduction)

Question 4: Where was he born?
Answer 4: New York City
Topic: Joss Whedon (Early life.)

Question 5: What were his other works?
Answer 5: He is best known as the creator of several television series :""Buffy the Vampire Slayer"",   ""Angel"", ""Firefly"", ""Agents of S.H.I.E.L.D.""
Topic: Joss Whedon (Introduction)

Question 6: When was the first one released?
Answer 6: March 10, 1997
Topic: Buffy the Vampire Slayer (Introduction)

Question 7: Which channel did broadcast it?
Answer 7: The series premiered on The WB and concluded on UPN
Topic: Buffy the Vampire Slayer (Introduction)

Question 8: What does the first one stand for?
Answer 8: Warner Bros
Topic: The WB (Introduction)

Question 9: Who founded it?
Answer 9: Warner Bros
Topic: The WB (1993–1995: Origins.)

Question 10: When?
Answer 10: November 2, 1993
Topic: The WB (1993–1995: Origins.)

"
